kx,ky,Hk,Vx,Vy
0.00039038694622425005,0.0005628075652074216,-63.944076208510104,-175.04949068874484,852.7556567138869
0.00039038694622425005,0.0005628075652074216,64.3667424291539,-260.70409358906915,-696.1551983611884
0.0017555851902718886,0.00044944510494278296,-64.20392703367335,-66.15051154604075,782.3435517409175
0.0017555851902718886,0.00044944510494278296,63.988765633775856,-407.9430746708942,-742.6907929634358
0.0031207834343195263,0.0003360826446781444,-64.29218494908449,63.15769796394888,697.3520036260463
0.0031207834343195263,0.0003360826446781444,63.43379180795859,-527.240095799155,-782.4865524307033
0.0044859816783671645,0.00022272018441350577,-64.18118876241925,209.74047009583305,599.5324773466889
0.0044859816783671645,0.00022272018441350577,62.738310035546704,-620.3115811074238,-815.7064603503492
0.005851179922414802,0.0001093577241488672,-63.85009346144369,367.22644184373786,492.65766911633466
0.005851179922414802,0.0001093577241488672,61.93521269927895,-690.5377666412577,-842.9539063588927
0.007216378166462441,-4.004736115771363e-6,-63.28912658393033,526.7729010794246,382.12376836400443
0.007216378166462441,-4.004736115771363e-6,61.05242794105881,-741.7740032565459,-864.9931087694192
0.00858157641051008,-0.00011736719638041004,-62.5018985934574,678.9460361757214,273.84420941447064
0.00858157641051008,-0.00011736719638041004,60.11279401847189,-777.6744058053011,-882.5826548912454
0.009946774654557717,-0.0002307296566450486,-61.504684670440405,815.8787513947224,172.9179260499908
0.009946774654557717,-0.0002307296566450486,59.13456002941816,-801.4026490426885,-896.3982299613615
0.011311972898605355,-0.00034409211690968717,-60.323063593177935,932.64769233398,82.72635735073426
0.011311972898605355,-0.00034409211690968717,58.1321059979726,-815.5675714980866,-907.0093177254678
0.012677171142652993,-0.00045745457717432574,-58.98744768096772,1027.4322496720354,4.762484271894249
0.012677171142652993,-0.00045745457717432574,57.11666719532809,-822.2647675451215,-914.8827206822048
0.014042369386700632,-0.0005708170374389643,-57.529078151537504,1100.7946302208577,-60.9825925324999
0.014042369386700632,-0.0005708170374389643,56.096971725953395,-823.1557335267258,-920.3966590002171
0.01540756763074827,-0.0006841794977036029,-55.97730746739397,1154.694455475323,-115.44014128273155
0.01540756763074827,-0.0006841794977036029,55.07976658592614,-819.5511958021511,-923.8571882723531
0.016772765874795908,-0.0007975419579682417,-54.35821229311604,1191.662281616512,-159.95796774246247
0.016772765874795908,-0.0007975419579682417,54.07023734428253,-812.4850532432757,-925.513346087756
0.018137964118843546,-0.0009109044182328802,-52.694183476519726,1214.268933312539,-195.9638089383182
0.018137964118843546,-0.0009109044182328802,53.0723373484563,-802.7751327714743,-925.5698257852162
0.019503162362891183,-0.001024266878497519,-51.00408349004219,1224.854002634901,-224.78439247298888
0.019503162362891183,-0.001024266878497519,52.089044157244544,-791.0711807277582,-924.1970627767846
0.02086836060693882,-0.0011376293387621575,-49.303661575261344,1225.425544941929,-247.57083693650773
0.02086836060693882,-0.0011376293387621575,51.12255912343559,-777.8919995633099,-921.5390416993682
0.022233558850986462,-0.001250991799026796,-47.606039139053216,1217.6535356786953,-265.28446900568895
0.022233558850986462,-0.001250991799026796,50.17446321992217,-763.6539021704282,-917.719245820048
0.0235987570950341,-0.0013643542592914346,-45.922170365685744,1202.9059123492311,-278.71169874370474
0.0235987570950341,-0.0013643542592914346,49.24583940251464,-748.6924411212974,-912.8451534832878
0.024963955339081738,-0.0014777167195560732,-44.26123943983229,1182.2985097690682,-288.489828625989
0.024963955339081738,-0.0014777167195560732,48.33736940915499,-733.2790171688678,-907.0116249409599
0.026329153583129376,-0.0015910791798207117,-42.630985606064264,1156.7448337248793,-295.1345673992853
0.026329153583129376,-0.0015910791798207117,47.44941098321812,-717.6336213276386,-900.3034537978712
0.027694351827177013,-0.0017044416400853503,-41.037960990853314,1126.999853933317,-299.065162809467
0.027694351827177013,-0.0017044416400853503,46.58206003419232,-701.9346664836119,-892.797294915634
0.02905955007122465,-0.0018178041003499889,-39.48773116420221,1093.6961586310472,-300.62574572940554
0.02905955007122465,-0.0018178041003499889,45.73520113378425,-686.326627106778,-884.5631291257984
0.03042474831527229,-0.0019311665606146274,-37.98502929237083,1057.3726936423127,-300.1027412704106
0.03042474831527229,-0.0019311665606146274,44.90854891031615,-670.9260235143141,-875.665384478591
0.03178994655931993,-0.002044529020879266,-36.533873834576795,1018.4970219976536,-297.7387213700599
0.03178994655931993,-0.002044529020879266,44.10168228169916,-655.8261501832313,-866.1638025017041
0.033155144803367564,-0.002157891481143905,-35.13765825300762,977.4822048740929,-293.7432303449235
0.033155144803367564,-0.002157891481143905,43.314073003455356,-641.1008457716739,-856.1141142785065
0.034520343047415206,-0.0022712539414085436,-33.79921967104288,934.6993396239038,-288.30111201192204
0.034520343047415206,-0.0022712539414085436,42.54510966219998,-626.8075272077228,-845.5685734322366
0.03588554129146284,-0.002384616401673182,-32.520892036760884,890.4866494096976,-281.5788046127891
0.03588554129146284,-0.002384616401673182,41.794117985828805,-612.9896546473333,-834.5763799723946
0.03725073953551048,-0.0024979788619378207,-31.304548182246897,845.1558692221257,-273.728994424704
0.03725073953551048,-0.0024979788619378207,41.060378146620714,-599.6787530981906,-823.1840193456148
0.03861593777955812,-0.0026113413222024593,-30.15163420530242,798.9965404261116,-264.8939498341851
0.03861593777955812,-0.0026113413222024593,40.34313958579082,-586.8960861727589,-811.4355341051096
0.03998113602360576,-0.002724703782467098,-29.0631988085722,752.2787165714352,-255.20780084521897
0.03998113602360576,-0.002724703782467098,39.64163377553889,-574.6540549036176,-799.372740726361
